103116,17719538962,TMN JACKSON (NO DH) (TN),,,2023-10-18T12:18:00+00:00,,,JACKSON,,,2023-10-17T00:00:00+00:00,,,,,,,TN,Client
103119,17719535179,SEVITA GREENEVILLE (NODH) (TN),,,2023-10-18T12:18:00+00:00,,,GREENEVILLE,,,2023-08-24T00:00:00+00:00,2023-10-04T00:00:00+00:00,,1; 2; 3,,,,TN,Client
103122,17719522837,TMN CROSSVILLE (NO DH) (TN),,,2023-10-18T12:18:00+00:00,,,CROSSVILLE,,,,,,,,,,TN,Client
103110,17719520341,TMN KNOXVILLE (TN) (NO DH),,,2023-10-18T12:18:00+00:00,,2023-11-20T15:39:00+00:00,KNOXVILLE,,,2023-08-10T00:00:00+00:00,2023-09-27T00:00:00+00:00,,1; 2; 3; 4; 5,,,,TN,Client
103120,17719500803,SEVITA GVILLE (THERAP)(NODH)TN,,,2023-10-18T12:18:00+00:00,,,GREENEVILLE,,,,,,,,,,TN,Client
103113,17719458095,TMN NASHVILLE (TN),,,2023-10-18T12:18:00+00:00,,,NASHVILLE,,,2023-08-22T00:00:00+00:00,2023-11-01T00:00:00+00:00,,,,,,TN,Client
103107,17719372190,TMN CHATTANOOGA(NODH) (TN),,,2023-10-18T12:18:00+00:00,,,CHATTANOOGA,,,2023-08-11T00:00:00+00:00,2023-09-26T00:00:00+00:00,,1; 2; 3,,,,TN,Client
103105,17719640373,TMN MARYVILLE (TN),,,2023-10-18T12:18:00+00:00,,,ALCOA,,,2023-08-10T00:00:00+00:00,2023-09-29T00:00:00+00:00,,1; 2; 3; 4,,,,TN,Client
102001,17719552004,MADISON HAY-BOLIVAR(NODH) (TN),,Amy Melton,2023-10-18T12:18:00+00:00,,,BOLIVAR,,,2023-08-23T00:00:00+00:00,2023-10-19T00:00:00+00:00,,1; 2; 3,,,,TN,Client
103102,17719530073,TMN COOKEVILLE (NODH) (TN),,,2023-10-18T12:18:00+00:00,,,COOKEVILLE,,,,,,,,,,TN,Client
102003,17719422520,MADISON HAY-SELMER(NO DH) (TN),,,2023-10-18T12:18:00+00:00,,,SELMER,,,,,,,,,,TN,Client
102007,17719410492,OPEN ARMS CARE (TN),,Amy Melton,2023-10-18T12:18:00+00:00,,2024-01-18T14:54:00+00:00,MEMPHIS,,,2023-10-18T00:00:00+00:00,2024-01-23T00:00:00+00:00,,1; 2,,,,TN,Client
102025,10527305248,NIA ASSOCIATION (NO DH)(TN),,Amy Melton,2023-01-03T12:16:00+00:00,(931) 906-3993,2023-12-12T12:00:00+00:00,Clarksville,United States,Hospitals & Physicians Clinics,2023-11-21T00:00:00+00:00,2023-12-07T00:00:00+00:00,,,,,,TN,Client
9245,10250317451,ABUNDANT LIFE - MT. PLEASANT,,,2022-12-05T18:29:00+00:00,,,MT. PLEASANT,,,,,,,,,,TX,Client
9232,10250315937,ABUNDANT LIFE - DALLAS,,,2022-12-05T18:29:00+00:00,,,DALLAS,,,,,,,,,,TX,Client
9116,10249497002,PREMIEANT - MCALLEN,,,2022-12-05T18:29:00+00:00,,,MCALLEN,,,,,,,,,,TX,Client
9112,10250282373,PREMIEANT - SAN ANTONIO,,,2022-12-05T18:29:00+00:00,,,SAN ANTONIO,,,,,,,,,,TX,Client
